1064,,
Mean Range,Mean DN,Acutal Refl
2.246123,1912.900183,0.9
2.119401,1332.892997,0.522
2.097039,730.8493506,0.276
2.038807,454.7441455,0.148
2.031091,279.2834638,0.103
2.067573,204.6583024,0.083
8.04083,874.0077844,0.9
8.067538,549.5790323,0.522
8.001257,286.9751479,0.276
8.038489,152.6861842,0.148
8.026801,93.6422535,0.103
8.038286,82.7257669,0.083
3.990525,1244.608154,0.9
3.984257,788.7456341,0.522
3.970745,427.2637975,0.276
3.957818,259.9058683,0.148
3.953688,157.4229621,0.103
3.975958,122.8800752,0.083
8.042725,871.6272727,0.9
8.027952,560.3202643,0.522
7.996527,293.5299145,0.276
8.032337,155.2751724,0.148
8.085792,94.1172222,0.103
8.028971,83.8907317,0.083
5.982288,1139.521237,0.9
6.013334,712.7510363,0.522
6.027807,367.3992736,0.276
5.948857,223.455409,0.148
5.985085,132.3445087,0.103
6.036936,99.2735294,0.083
8.029874,848.9,0.9
8.014143,539.6153846,0.522
7.990311,277.1911458,0.276
8.024294,149.9724638,0.148
8.024506,89.784456,0.103
8.023981,80.1467337,0.083
