1548,,
Mean Range,Mean DN,Actual Refl
2.113496,1848.332703,0.78
2.104318,1263.434444,0.464
2.138285,590.6194805,0.216
2.134605,318.654387,0.107
2.127051,206.6339571,0.08
2.159564,163.792658,0.069
8.090197,790.4994012,0.78
8.084059,487.3930108,0.464
8.094387,232.8189349,0.216
8.134146,113.8355263,0.107
8.132889,76.093662,0.08
8.135764,79.6306748,0.069
4.032286,950.3403171,0.78
4.026796,649.4441788,0.464
4.063718,303.4463291,0.216
4.043538,180.3639521,0.107
4.036897,115.3373134,0.08
4.049779,103.3825815,0.069
8.087012,818.7636364,0.78
8.08474,526.4339207,0.464
8.160515,257.0854701,0.216
8.141916,128.7510345,0.107
8.167402,83.7594444,0.08
8.131705,103.1136585,0.069
6.018553,914.8489247,0.78
6.056051,614.7033679,0.464
6.121084,268.2532688,0.216
6.049909,158.5189974,0.107
6.083428,99.3393064,0.08
6.131723,85.3374332,0.069
8.086085,793.5387255,0.78
8.08877,485.042735,0.464
8.090241,232.8072917,0.216
8.142328,115.8492754,0.107
8.136346,75.7471503,0.08
8.130189,79.641,0.069
