p1_rg,p2_rg,p3_rg,p4_rg,p1_meannorm,p2_meannorm,p3_meannorm,p4_meannorm,p1_stdnorm,p2_stdnorm,p3_stdnorm,p4_stdnorm
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,9.941,0.000,0.000,0.000,1603.234,0.000,0.000,0.000,55.611
0.000,0.000,0.000,10.931,0.000,0.000,0.000,1546.766,0.000,0.000,0.000,50.323
0.000,0.000,11.930,11.934,0.000,0.000,1401.671,1407.475,0.000,0.000,17.311,51.503
0.000,0.000,12.941,12.935,0.000,0.000,1275.517,1283.488,0.000,0.000,14.569,52.035
0.000,0.000,13.930,13.937,0.000,0.000,1139.282,1179.770,0.000,0.000,13.121,51.171
0.000,14.954,14.946,14.940,0.000,995.357,1112.496,999.601,0.000,10.268,16.142,50.664
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,19.940,19.937,19.946,0.000,686.669,723.153,662.914,0.000,10.008,10.236,46.850
0.000,24.939,24.937,24.937,0.000,464.710,472.046,499.531,0.000,6.978,8.079,29.418
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,2.449,0.000,0.000,0.000,1396.653,0.000,0.000,0.000,54.732
29.933,29.918,29.922,0.000,325.717,332.144,326.985,0.000,3.220,6.207,7.467,0.000
34.951,34.942,34.947,0.000,245.455,244.317,247.583,0.000,3.473,4.967,6.967,0.000
0.000,0.000,0.000,2.937,0.000,0.000,0.000,2227.991,0.000,0.000,0.000,60.622
0.000,0.000,0.000,3.433,0.000,0.000,0.000,2616.555,0.000,0.000,0.000,58.626
39.975,39.967,39.962,0.000,187.410,188.679,187.258,0.000,2.663,4.953,6.571,0.000
0.000,0.000,0.000,3.942,0.000,0.000,0.000,2756.787,0.000,0.000,0.000,61.076
0.000,0.000,0.000,4.436,0.000,0.000,0.000,2504.261,0.000,0.000,0.000,61.587
49.985,49.973,49.973,0.000,122.513,119.688,118.515,0.000,2.175,4.595,6.487,0.000
0.000,0.000,0.000,4.937,0.000,0.000,0.000,2577.085,0.000,0.000,0.000,61.693
0.000,0.000,0.000,5.436,0.000,0.000,0.000,2542.747,0.000,0.000,0.000,61.258
60.008,59.997,60.000,0.000,83.572,83.615,85.416,0.000,2.030,4.806,6.320,0.000
0.000,0.000,0.000,5.937,0.000,0.000,0.000,2483.466,0.000,0.000,0.000,56.049
0.000,0.000,0.000,6.440,0.000,0.000,0.000,2350.514,0.000,0.000,0.000,55.313
69.672,69.664,69.710,0.000,63.134,61.224,70.480,0.000,2.445,3.335,2.197,0.000
0.000,0.000,0.000,6.932,0.000,0.000,0.000,2236.183,0.000,0.000,0.000,58.096
0.000,0.000,0.000,7.436,0.000,0.000,0.000,2108.826,0.000,0.000,0.000,59.487
0.000,0.000,0.000,7.935,0.000,0.000,0.000,1850.891,0.000,0.000,0.000,54.884
0.000,0.000,0.000,8.429,0.000,0.000,0.000,1879.449,0.000,0.000,0.000,58.895
0.000,0.000,0.000,8.941,0.000,0.000,0.000,1818.541,0.000,0.000,0.000,55.571
0.000,0.000,0.000,9.431,0.000,0.000,0.000,1794.447,0.000,0.000,0.000,53.919
