p1_rg,p2_rg,p3_rg,p4_rg,p1_meannorm,p2_meannorm,p3_meannorm,p4_meannorm,p1_stdnorm,p2_stdnorm,p3_stdnorm,p4_stdnorm
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9.946,9.935,9.920,0.000,805.367,812.557,779.514,0.000,9.061,9.345,53.672
0.000,10.922,10.903,10.908,0.000,749.604,754.705,729.746,0.000,8.016,9.107,55.681
0.000,11.935,11.928,11.918,0.000,682.532,672.360,659.883,0.000,7.392,8.520,53.291
0.000,12.891,12.908,12.907,0.000,617.966,622.369,622.849,0.000,7.266,8.138,47.424
0.000,13.917,13.922,13.927,0.000,567.086,573.943,593.500,0.000,6.608,7.671,40.152
0.000,14.925,14.929,14.906,0.000,523.623,526.984,535.320,0.000,7.312,8.827,31.713
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19.930,19.922,19.930,19.949,340.805,342.577,345.095,500.399,3.884,6.037,7.397,54.977
24.932,24.921,24.928,0.000,240.165,241.442,241.102,0.000,3.281,4.878,6.463,0.000
0.000,0.000,0.000,1.928,0.000,0.000,0.000,459.833,0.000,0.000,0.000,41.083
0.000,2.470,2.465,2.427,0.000,404.306,418.188,509.134,0.000,6.730,8.067,39.540
29.916,29.901,29.908,0.000,183.914,178.928,171.780,0.000,2.831,5.091,6.580,0.000
34.934,34.923,34.927,0.000,137.474,133.671,131.469,0.000,2.769,4.829,6.142,0.000
0.000,2.846,0.000,2.927,0.000,552.298,0.000,638.788,0.000,8.824,0.000,56.725
0.000,3.412,3.417,3.421,0.000,747.600,753.824,777.590,0.000,8.533,10.936,54.432
39.953,39.949,39.947,0.000,110.176,104.271,106.934,0.000,2.628,4.537,5.717,0.000
0.000,3.933,3.926,3.911,0.000,853.538,922.438,885.819,0.000,10.774,12.067,58.684
0.000,0.000,4.412,4.415,0.000,0.000,1021.307,1036.353,0.000,0.000,12.660,58.949
49.964,49.955,49.951,0.000,72.418,67.996,69.251,0.000,2.428,4.068,5.404,0.000
0.000,0.000,0.000,4.927,0.000,0.000,0.000,1119.422,0.000,0.000,0.000,60.175
0.000,0.000,5.425,5.407,0.000,0.000,1128.691,1106.858,0.000,0.000,10.284,61.091
59.996,59.993,59.999,0.000,49.804,49.664,59.729,0.000,2.423,3.424,3.288,0.000
0.000,0.000,5.903,5.917,0.000,0.000,1162.189,1112.628,0.000,0.000,18.108,60.797
0.000,0.000,6.437,6.424,0.000,0.000,1101.899,1118.373,0.000,0.000,13.112,58.976
69.652,69.664,0.000,0.000,39.073,41.913,0.000,0.000,1.501,0.000,0.000,0.000
0.000,0.000,6.902,6.910,0.000,0.000,1075.587,1057.820,0.000,0.000,12.439,57.699
0.000,0.000,7.393,7.409,0.000,0.000,1043.268,989.708,0.000,0.000,10.608,60.037
0.000,0.000,7.918,7.917,0.000,0.000,998.245,972.858,0.000,0.000,11.608,56.418
0.000,0.000,8.430,8.405,0.000,0.000,960.653,931.712,0.000,0.000,13.712,56.463
0.000,0.000,8.906,8.912,0.000,0.000,900.688,895.312,0.000,0.000,13.592,56.441
0.000,9.432,9.416,9.415,0.000,859.519,877.791,843.764,0.000,9.174,11.472,53.532
