panel_range,p1_start,p1_end,p2_start,p2_end,p3_start,p3_end,p4_start,p4_end,rg_lowb,rg_upb
1.5,1,16450,16670,35170,35420,43050,0,0,1.2,2
10,1,8400,8550,19250,19420,31190,31340,34260,9,11
11,1,6120,6230,15150,15310,24780,24860,26510,10,12
12,1,6380,6470,14130,14380,22920,0,0,11.5,12.5
13,1,1460,1560,5560,5630,10000,10120,12620,12.5,13.5
14,1,12420,12580,25140,25430,38260,38380,39750,14,14.5
15,1,10870,11120,21850,22030,32570,0,0,15,15.5
1,1,11820,12050,27610,28260,44650,0,0,1,1.4
2.5,1,16780,17420,28680,29220,32050,0,0,2,3
20,1,11820,11970,21850,21940,30870,0,0,19.5,20.5
25,1,9830,9980,18630,18750,26760,0,0,24.5,25.5
2,1,16450,16870,32180,32820,49600,50020,65830,1.5,2.5
3.5,0,0,160,15100,17180,31810,32070,48080,3,4
30,1,11050,11120,20550,20650,27330,0,0,29.5,30.5
35,1,9500,9660,17300,17350,22740,0,0,34.5,35.5
3,0,0,16280,32710,32860,47330,48080,70970,2.5,3.5
4.5,0,0,100,14140,14390,28040,28270,40350,4,5
40,1,10520,10650,18400,18450,18770,0,0,39.75,40.5
4,0,0,16580,30960,31100,48050,48170,52730,3.5,4.5
5.5,0,0,10890,26620,27570,43120,43800,55220,5,6
50,1,9970,0,0,0,0,0,0,49.5,50.5
5,0,0,30,330,390,1700,1750,14950,4.75,5.5
6.5,0,0,17460,17970,21150,23290,25650,38570,6,7
60,1,1920,0,0,0,0,0,0,59,61
6,0,0,6520,22090,25790,41180,0,0,5.5,6.5
7.5,0,0,7610,23180,25880,40490,42640,50330,7,8
70,1,23,0,0,0,0,0,0,70,70.5
7,0,0,19240,32650,35970,49340,52120,65280,6.5,7.5
8.5,0,0,2760,12940,13580,23940,24400,30770,8.25,9
8,0,0,3130,4330,4720,6710,7030,10940,7.75,8.5
9.5,1,5760,5860,12760,12950,23790,23900,29120,9,10
9,1,4310,4450,17180,17360,29880,30050,38200,8.75,9.5
