p_range,p1_start,p1_end,p2_start,p2_end,p3_start,p3_end,p4_start,p4_end,min_range,max_range
1.5,1,16470,22670,41180,51510,59130,0,0,1,2
10,1,13260,26810,41930,51510,67320,0,0,9.5,10.5
11,1,16030,22680,39120,54810,70020,0,0,10.5,11.5
12,30,16440,26820,41160,53600,67930,0,0,11.5,12.5
13,50,16420,26840,41140,55680,69980,0,0,12.5,13.5
14,70,16410,30970,43180,59810,74080,0,0,13.5,14.5
15,80,16380,24810,39060,53650,69380,0,0,14.5,15.5
1,1,17950,24730,40320,51510,67970,0,0,0.8,1.25
2.5,0,0,22670,38010,47390,62940,72510,88570,2,3
20,120,16330,26910,41070,57810,71970,0,0,19.8,20.2
25,150,14270,24870,38980,51660,65770,0,0,24.8,25.2
2,0,0,24730,40070,49100,65910,0,0,1.8,2.1
3.5,0,0,22030,36980,53180,68080,77230,93190,3.3,3.7
30,170,16310,31070,44930,57850,69870,0,0,29.8,30.3
35,180,16050,31090,43080,54600,67680,0,0,34.8,35.3
3,0,0,22670,39130,49340,63760,73290,96230,2.8,3.2
4.5,0,0,21110,37150,45170,60170,67820,83820,4.3,4.7
40,190,16290,29040,42740,0,0,0,0,39.8,40.3
4,0,0,22370,37070,45820,62800,68960,85810,3.8,4.2
5.5,0,0,21070,36940,49680,65300,74170,91820,5,6
50,200,18330,0,0,0,0,0,0,49.8,50.4
5,0,0,23120,37730,48520,65330,72210,87630,4.6,5.2
6.5,1,16450,22060,36870,47390,61820,69310,84450,6,7
60,550,13800,0,0,0,0,0,0,59.5,60.5
6,1,14810,20610,36440,49850,65410,74170,96810,5.8,6.3
7.5,1,16400,24730,40700,51090,65890,74180,88950,7.3,7.7
7,1,17610,23120,39130,49470,63840,72120,88570,6.6,7.4
8.5,1,14820,20650,36450,45860,61850,0,0,8.4,8.7
8,1,15020,20620,35010,46450,61790,69790,84960,7.5,8.5
9.5,10,24710,30910,45510,57690,76210,84520,100800,9.2,9.8
9,1,16470,21520,37070,45450,60450,0,0,8.8,9.2
