panel_range,p1_start,p1_end,p2_start,p2_end,p3_start,p3_end,p4_start,p4_end,rg_lowb,rg_upb
1.5,1,16470,20390,38910,45680,53320,0,0,1.45,1.8
10,1,2270,2310,4620,4660,7180,0,0,9,11
11,1,1440,1470,3250,3260,5340,5350,5890,10,12
12,1,1770,1780,3280,3330,5160,0,0,11,13
13,1,1940,1950,3490,3500,4950,0,0,12,14
14,1,2380,2420,5300,5360,7490,0,0,13,15
15,1,2060,2080,3900,3950,5700,0,0,14,16
1,1,10620,15220,30750,38840,55290,0,0,1,1.34
2.5,0,0,20840,36210,42090,57630,0,0,2,3
20,1,2290,2330,4370,4390,6450,0,0,19,21
25,1,1430,1460,2940,2960,4540,0,0,24,26
2,1,16470,21950,37240,44040,60890,0,0,1.76,2.1
3.5,0,0,16290,19390,21350,36210,36390,52380,3,4
30,1,2600,2610,4060,4100,5310,0,0,29,31
35,1,2250,2300,3800,3880,4070,0,0,34.8,35.4
3,0,0,16390,19180,19310,33130,33910,56860,2.9,3.2
4.5,0,0,15790,25690,25850,33990,34150,36270,4.4,4.7
40,1,1480,1510,2160,0,0,0,0,39.4,40.4
4,0,0,16280,30970,31030,48040,48140,49910,3,5
5.5,1,15380,15510,31480,31710,47350,47590,49910,5,6
50,1,2330,0,0,0,0,0,0,49.5,50.5
5,0,0,16600,29970,30200,44730,44830,46610,4.5,5.5
6.5,1,15550,15690,30010,30320,43930,44050,46020,6,6.75
60,1,150,0,0,0,0,0,0,59.5,60.5
6,1,10970,11080,24890,25140,38730,0,0,5.8,6.3
7.5,1,13180,13280,27420,27590,40870,40930,42370,7.25,7.75
7,1,17560,18080,34020,34170,48550,48640,50450,6.75,7.25
8.5,1,6010,6060,9640,9710,12510,12570,12980,8,9
8,1,7820,7890,11190,11250,13450,13520,14500,7.75,8.25
9.5,1,3260,3280,5330,5370,8340,8370,9760,9,10
9,1,2770,2800,5100,5150,7020,7080,7560,8.5,9.5

