// Wavelength label is 1548, NOT the actual wavelength
median_pulse_model,mean_pulse_model
0.002,-0.002
0.002,-0.001
0.002,-0.000
0.002,0.001
0.002,0.000
0.002,0.000
0.002,-0.000
0.002,-0.000
0.002,-0.001
0.002,-0.001
0.002,-0.002
-0.005,-0.002
-0.005,-0.003
0.002,-0.002
-0.005,-0.002
0.002,-0.001
-0.005,-0.001
-0.005,-0.001
0.002,-0.001
-0.005,-0.000
0.002,-0.000
0.002,0.000
0.002,-0.000
0.002,0.000
0.002,-0.001
0.002,-0.001
0.002,-0.003
0.002,-0.003
0.002,-0.003
-0.005,-0.001
0.002,0.000
0.008,0.001
0.001,0.001
0.001,0.001
0.001,0.000
0.001,-0.000
0.001,-0.001
0.001,-0.001
-0.005,-0.002
0.001,-0.002
-0.005,-0.003
-0.005,-0.003
-0.005,-0.004
-0.006,-0.004
0.001,-0.003
0.001,-0.000
0.008,0.001
0.001,0.004
0.001,0.004
0.001,0.007
0.008,0.009
0.008,0.011
0.008,0.014
0.001,0.018
0.001,0.021
0.001,0.024
0.001,0.026
-0.006,0.028
0.001,0.028
-0.006,0.028
-0.006,0.025
0.001,0.022
0.001,0.017
0.001,0.012
0.007,0.007
0.001,0.003
0.001,-0.001
0.001,-0.005
0.001,-0.008
0.001,-0.009
0.007,-0.007
0.007,0.002
0.027,0.032
0.061,0.092
0.148,0.191
0.296,0.335
0.477,0.505
0.665,0.683
0.846,0.840
0.960,0.952
1.000,1.000
0.980,0.970
0.913,0.863
0.758,0.688
0.530,0.468
0.262,0.237
0.020,0.016
-0.154,-0.169
-0.315,-0.301
-0.382,-0.379
-0.396,-0.401
-0.376,-0.370
-0.315,-0.302
-0.215,-0.208
-0.107,-0.106
-0.007,-0.014
0.067,0.065
0.121,0.117
0.154,0.143
0.154,0.153
0.147,0.140
0.127,0.111
0.094,0.075
0.060,0.040
0.020,0.008
-0.014,-0.018
-0.034,-0.040
-0.047,-0.056
-0.054,-0.067
-0.054,-0.066
-0.047,-0.060
-0.034,-0.044
-0.021,-0.027
-0.007,-0.008
0.013,0.012
0.020,0.026
0.026,0.034
0.033,0.036
0.033,0.031
0.026,0.024
0.019,0.016
0.013,0.010
0.006,0.003
-0.001,-0.003
-0.007,-0.007
-0.014,-0.012
-0.014,-0.016
-0.014,-0.016
-0.008,-0.015
-0.008,-0.011
-0.008,-0.006
-0.001,0.002
0.006,0.007
0.006,0.011
0.012,0.014
0.006,0.014
0.006,0.013
0.006,0.012
0.006,0.009
0.006,0.006
0.006,0.003
-0.001,-0.001
-0.001,-0.003
-0.008,-0.004
-0.008,-0.006
-0.001,-0.005
-0.001,-0.005
-0.008,-0.002
-0.001,-0.002
-0.001,-0.001
-0.001,0.001
-0.001,0.002
-0.001,0.002
0.005,0.003
0.005,0.003
0.005,0.004
0.005,0.004
-0.002,0.006
0.005,0.007
0.005,0.009
0.005,0.010
