p_range,p1_start,p1_end,p2_start,p2_end,p3_start,p3_end,p4_start,p4_end,min_range,max_range
0.5,0,0,0,0,0,0,0,0,0,1
10,0,0,22880,29010,43310,49750,64020,72230,9.5,10.5
11,0,0,22710,29320,43350,49390,61940,68950,10.5,11.5
12,0,0,26960,30840,47440,53500,68260,75670,11.5,12.5
13,0,0,26860,32720,47780,55420,69630,80070,12.5,13.5
14,0,0,23100,30760,45470,51270,66080,76060,13.5,14.5
15,0,0,26940,32640,49610,55510,72300,79570,14.5,15.5
1,0,0,0,0,0,0,0,0,0.5,1.5
1.5,0,0,0,0,0,0,0,0,1,2
20,8400,14260,25390,32670,46390,53360,66850,74670,19.5,20.5
25,7610,13900,28000,34730,47550,53310,0,0,24.5,25.5
2,0,0,0,0,0,0,59850,67870,1.5,2.5
2.5,0,0,24850,32600,43330,49740,70750,80800,2,3
30,8420,14010,22850,28600,43490,51110,0,0,29.5,30.5
35,8450,14070,25130,32600,47720,54960,0,0,34.5,35.5
3,0,0,23010,31280,44140,31310,63820,71840,2.5,3.5
3.5,0,0,21510,28800,40430,49240,60190,68620,3,4
40,8950,15810,25540,32270,47890,54250,0,0,39.5,40.5
4,0,0,35300,41940,51850,59940,68670,76000,3.5,4.5
4.5,0,0,0,0,51670,59230,68070,75210,4,5
50,8530,14050,23550,30530,45590,51220,0,0,49.5,50.5
5,0,0,0,0,0,0,45360,53350,4.5,5.5
5.5,0,0,0,0,45420,52720,65700,74000,5,6
60,8830,13810,23240,30280,42610,50110,0,0,59.5,60.5
6,0,0,0,0,45260,52710,63920,72140,5.5,6.5
6.5,0,0,0,0,43350,50770,63020,69960,6,7
70,8890,15830,27430,33590,0,0,0,0,69.5,70.5
7,0,0,0,0,43400,50470,61050,67900,6.5,7.5
7.5,0,0,0,0,40400,49330,59850,65770,7,8
8,0,0,0,0,42470,49330,60110,67860,7.5,8.5
8.5,0,0,0,0,41300,49360,61870,69070,8,9
9,0,0,0,0,43360,49830,60430,67000,8.5,9.5
9.5,0,0,22750,28740,43370,49380,61870,68110,9,10
